,Unnamed: 0,Unnamed: 0.1,Volcano Name,Eruption Category,VEI,year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude,Lifetime (years),Start Date,End Date,VEIsize
8415,8415,8429,Izu-Oshima,Confirmed Eruption,3.0,654,1,1,Historical Observations,End Year Unknown,End Month Unknown,End Day Unknown,34.724,139.394,Lifetime (years) Unknown,654/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8416,8416,8430,Dakataua,Confirmed Eruption,6.0,653,Start Month Unknown,Start Day Unknown,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,-5.094,150.094,Lifetime (years) Unknown,653/Start Month Unknown/Start Day Unknown,End Year Unknown/End Month Unknown/End Day Unknown,37.0
8417,8417,8431,"Khaybar, Harrat",Confirmed Eruption,2.0,650,1,1,Historical Observations,End Year Unknown,End Month Unknown,End Day Unknown,25.5,40.0,Lifetime (years) Unknown,650/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8418,8418,8432,Sanbesan,Confirmed Eruption,2.0,650,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,35.141,132.622,Lifetime (years) Unknown,650/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8419,8419,8433,Krasheninnikov,Confirmed Eruption,2.0,650,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,54.596,160.27,Lifetime (years) Unknown,650/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8420,8420,8434,Kikhpinych,Confirmed Eruption,2.0,650,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,54.489,160.251,Lifetime (years) Unknown,650/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8421,8421,8435,Sheveluch,Confirmed Eruption,5.0,650,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,56.653,161.36,Lifetime (years) Unknown,650/1/1,End Year Unknown/End Month Unknown/End Day Unknown,26.0
8422,8422,8436,Hekla,Confirmed Eruption,2.0,650,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,63.983,-19.666,Lifetime (years) Unknown,650/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8423,8423,8437,Cuicocha,Confirmed Eruption,2.0,650,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,0.308,-78.364,Lifetime (years) Unknown,650/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8424,8424,8438,Arenal,Confirmed Eruption,4.0,650,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,10.463,-84.703,Lifetime (years) Unknown,650/1/1,End Year Unknown/End Month Unknown/End Day Unknown,17.0
8425,8425,8439,Pelee,Confirmed Eruption,2.0,650,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,14.809,-61.165,Lifetime (years) Unknown,650/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8426,8426,8440,Tatun Volcanic Group,Confirmed Eruption,0.0,648,Start Month Unknown,Start Day Unknown,Uranium-series,End Year Unknown,End Month Unknown,End Day Unknown,25.178,121.553,Lifetime (years) Unknown,648/Start Month Unknown/Start Day Unknown,End Year Unknown/End Month Unknown/End Day Unknown,1.0
8427,8427,8441,Etna,Uncertain Eruption,2.0,644,1,1,Evidence Method (dating) Unknown,End Year Unknown,End Month Unknown,End Day Unknown,37.748,14.999,Lifetime (years) Unknown,644/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8428,8428,8442,"Rahat, Harrat",Confirmed Eruption,2.0,641,1,1,Historical Observations,End Year Unknown,End Month Unknown,End Day Unknown,23.08,39.78,Lifetime (years) Unknown,641/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8429,8429,8443,San Salvador,Confirmed Eruption,3.0,640,8,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,13.734,-89.294,Lifetime (years) Unknown,640/8/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8430,8430,8444,Turrialba,Confirmed Eruption,2.0,640,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,10.025,-83.767,Lifetime (years) Unknown,640/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8431,8431,8445,"Watt, Morne",Confirmed Eruption,2.0,640,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,15.307,-61.305,Lifetime (years) Unknown,640/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8432,8432,8446,Taveuni,Confirmed Eruption,2.0,640,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,-16.82,-179.97,Lifetime (years) Unknown,640/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8433,8433,8447,Redoubt,Confirmed Eruption,2.0,640,1,1,Varve Count,End Year Unknown,End Month Unknown,End Day Unknown,60.485,-152.742,Lifetime (years) Unknown,640/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8434,8434,8448,Unknown Source,Confirmed Eruption,2.0,639,1,1,Ice Core,End Year Unknown,End Month Unknown,End Day Unknown,0.0,0.0,Lifetime (years) Unknown,639/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8435,8435,8449,Mauna Loa,Confirmed Eruption,0.0,630,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.475,-155.608,Lifetime (years) Unknown,630/1/1,End Year Unknown/End Month Unknown/End Day Unknown,1.0
8436,8436,8450,Sheveluch,Confirmed Eruption,3.0,630,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,56.653,161.36,Lifetime (years) Unknown,630/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8437,8437,8451,Yakedake,Confirmed Eruption,1.0,630,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,36.227,137.587,Lifetime (years) Unknown,630/1/1,End Year Unknown/End Month Unknown/End Day Unknown,2.0
8438,8438,8452,Merapi,Confirmed Eruption,2.0,630,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,-7.54,110.446,Lifetime (years) Unknown,630/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8439,8439,8453,Izu-Oshima,Confirmed Eruption,3.0,625,1,1,Varve Count,End Year Unknown,End Month Unknown,End Day Unknown,34.724,139.394,Lifetime (years) Unknown,625/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8440,8440,8454,Mono-Inyo Craters,Confirmed Eruption,4.0,620,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,37.804,-119.029,Lifetime (years) Unknown,620/1/1,End Year Unknown/End Month Unknown/End Day Unknown,17.0
8441,8441,8455,Edziza,Confirmed Eruption,2.0,610,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,57.72,-130.63,Lifetime (years) Unknown,610/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8442,8442,8456,Chokaisan,Uncertain Eruption,2.0,610,1,1,Evidence Method (dating) Unknown,End Year Unknown,End Month Unknown,End Day Unknown,39.099,140.049,Lifetime (years) Unknown,610/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8443,8443,8457,Opala,Confirmed Eruption,5.0,610,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,52.543,157.339,Lifetime (years) Unknown,610/1/1,End Year Unknown/End Month Unknown/End Day Unknown,26.0
8444,8444,8458,Katla,Confirmed Eruption,2.0,610,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,63.633,-19.083,Lifetime (years) Unknown,610/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8445,8445,8459,Etna,Discredited Eruption,2.0,604,1,1,Evidence Method (dating) Unknown,End Year Unknown,End Month Unknown,End Day Unknown,37.748,14.999,Lifetime (years) Unknown,604/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8446,8446,8460,"Fournaise, Piton de la",Confirmed Eruption,0.0,600,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,-21.244,55.708,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,1.0
8447,8447,8461,Kuchinoerabujima,Confirmed Eruption,2.0,600,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,30.443,130.217,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8448,8448,8462,Ata,Confirmed Eruption,4.0,600,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,31.22,130.57,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,17.0
8449,8449,8463,Akan,Confirmed Eruption,2.0,600,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,43.384,144.013,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
