,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude,Lifetime (years),Start Date,End Date
9865,Mauna Kea,Confirmed Eruption,VEI Unknown,-2460,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.82,-155.47,,-2460/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9866,Haleakala,Confirmed Eruption,VEI Unknown,-2470,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,20.708,-156.25,,-2470/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9867,Katla,Confirmed Eruption,VEI Unknown,-2480,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,63.633,-19.083,,-2480/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9868,Atacazo,Confirmed Eruption,5.0,-2490,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,-0.353,-78.617,,-2490/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9869,Sheveluch,Confirmed Eruption,3.0,-2490,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,56.653,161.36,,-2490/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9870,"Orizaba, Pico de",Confirmed Eruption,3.0,-2500,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.03,-97.27,,-2500/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9871,Avachinsky,Confirmed Eruption,VEI Unknown,-2500,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,53.256,158.836,,-2500/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9872,Taupo,Confirmed Eruption,3.0,-2500,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,-38.82,176.0,,-2500/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9873,Campi Flegrei,Confirmed Eruption,4.0,-2500,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,40.827,14.139,,-2500/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9874,Chimborazo,Confirmed Eruption,VEI Unknown,-2500,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,-1.464,-78.815,,-2500/1/1,End Year Unknown/End Month Unknown/End Day Unknown
