,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude,Lifetime (years),Start Date,End Date
0,Kilauea,Confirmed Eruption,VEI Unknown,2021,9,29,Historical Observations,2021,10,14,19.421,-155.287,0.0,2021/9/29,2021/10/14
1,La Palma,Confirmed Eruption,VEI Unknown,2021,9,19,Historical Observations,2021,10,14,28.57,-17.83,0.0,2021/9/19,2021/10/14
2,Nishinoshima,Confirmed Eruption,VEI Unknown,2021,8,14,Historical Observations,2021,8,14,27.247,140.874,0.0,2021/8/14,2021/8/14
3,Fukutoku-Oka-no-Ba,Confirmed Eruption,VEI Unknown,2021,8,13,Historical Observations,2021,9,12,24.285,141.481,0.0,2021/8/13,2021/9/12
4,Chirinkotan,Confirmed Eruption,VEI Unknown,2021,8,8,Historical Observations,2021,8,24,48.98,153.48,0.0,2021/8/8,2021/8/24
5,Pavlof,Confirmed Eruption,VEI Unknown,2021,8,5,Historical Observations,2021,10,14,55.417,-161.894,0.0,2021/8/5,2021/10/14
6,Pagan,Confirmed Eruption,VEI Unknown,2021,7,29,Historical Observations,2021,9,6,18.13,145.8,0.0,2021/7/29,2021/9/6
7,Ulawun,Confirmed Eruption,VEI Unknown,2021,7,29,Historical Observations,2021,8,3,-5.05,151.33,0.0,2021/7/29,2021/8/3
8,Sirung,Confirmed Eruption,VEI Unknown,2021,7,21,Historical Observations,2021,7,21,-8.508,124.13,0.0,2021/7/21,2021/7/21
9,Copahue,Confirmed Eruption,VEI Unknown,2021,7,2,Historical Observations,2021,10,12,-37.856,-71.183,0.0,2021/7/2,2021/10/12
10,Taal,Confirmed Eruption,VEI Unknown,2021,7,1,Historical Observations,2021,7,9,14.002,120.993,0.0,2021/7/1,2021/7/9
11,Rincon de la Vieja,Confirmed Eruption,VEI Unknown,2021,6,28,Historical Observations,2021,10,14,10.83,-85.324,0.0,2021/6/28,2021/10/14
12,Turrialba,Confirmed Eruption,VEI Unknown,2021,6,13,Historical Observations,2021,7,23,10.025,-83.767,0.0,2021/6/13,2021/7/23
13,Great Sitkin,Confirmed Eruption,VEI Unknown,2021,5,25,Historical Observations,2021,10,14,52.076,-176.13,0.0,2021/5/25,2021/10/14
14,Telica,Confirmed Eruption,VEI Unknown,2021,5,22,Historical Observations,2021,10,14,12.606,-86.84,0.0,2021/5/22,2021/10/14
15,Dieng Volcanic Complex,Confirmed Eruption,VEI Unknown,2021,4,29,Historical Observations,2021,4,29,-7.2,109.879,0.0,2021/4/29,2021/4/29
16,Tengger Caldera,Confirmed Eruption,VEI Unknown,2021,4,15,Historical Observations,2021,10,14,-7.942,112.95,0.0,2021/4/15,2021/10/14
17,"Fournaise, Piton de la",Confirmed Eruption,VEI Unknown,2021,4,9,Historical Observations,2021,5,24,-21.244,55.708,0.0,2021/4/9,2021/5/24
18,Krysuvik-Trolladyngja,Confirmed Eruption,VEI Unknown,2021,3,19,Historical Observations,2021,9,18,63.917,-22.067,0.0,2021/3/19,2021/9/18
19,Veniaminof,Confirmed Eruption,VEI Unknown,2021,2,28,Historical Observations,2021,4,5,56.17,-159.38,0.0,2021/2/28,2021/4/5
20,Semisopochnoi,Confirmed Eruption,VEI Unknown,2021,2,2,Historical Observations,2021,10,14,51.93,179.58,0.0,2021/2/2,2021/10/14
21,Raung,Confirmed Eruption,VEI Unknown,2021,1,21,Historical Observations,2021,4,14,-8.119,114.056,0.0,2021/1/21,2021/4/14
22,Merapi,Confirmed Eruption,1.0,2020,12,31,Historical Observations,2021,10,14,-7.54,110.446,1.0,2020/12/31,2021/10/14
23,Soufriere St. Vincent,Confirmed Eruption,4.0,2020,12,27,Historical Observations,2021,4,22,13.33,-61.18,1.0,2020/12/27,2021/4/22
24,San Cristobal,Confirmed Eruption,3.0,2020,12,27,Historical Observations,2021,10,3,12.702,-87.004,1.0,2020/12/27,2021/10/3
25,Tengger Caldera,Confirmed Eruption,1.0,2020,12,26,Historical Observations,2020,12,28,-7.942,112.95,0.0,2020/12/26,2020/12/28
26,Kilauea,Confirmed Eruption,0.0,2020,12,20,Historical Observations,2021,5,23,19.421,-155.287,1.0,2020/12/20,2021/5/23
27,"Fournaise, Piton de la",Confirmed Eruption,0.0,2020,12,7,Historical Observations,2020,12,8,-21.244,55.708,0.0,2020/12/7,2020/12/8
28,Lewotolok,Confirmed Eruption,2.0,2020,11,27,Historical Observations,2021,10,14,-8.274,123.508,1.0,2020/11/27,2021/10/14
29,Kikai,Confirmed Eruption,1.0,2020,10,6,Historical Observations,2020,10,6,30.793,130.305,0.0,2020/10/6,2020/10/6
30,Kavachi,Confirmed Eruption,0.0,2020,9,2,Historical Observations,2021,4,10,-8.991,157.979,1.0,2020/9/2,2021/4/10
31,Kuchinoerabujima,Confirmed Eruption,1.0,2020,8,29,Historical Observations,2020,8,29,30.443,130.217,0.0,2020/8/29,2020/8/29
32,Sinabung,Confirmed Eruption,3.0,2020,8,8,Historical Observations,2021,10,14,3.17,98.392,1.0,2020/8/8,2021/10/14
33,Telica,Confirmed Eruption,1.0,2020,7,20,Historical Observations,2020,12,9,12.606,-86.84,0.0,2020/7/20,2020/12/9
34,Raung,Confirmed Eruption,1.0,2020,7,16,Historical Observations,2020,10,3,-8.119,114.056,0.0,2020/7/16,2020/10/3
35,Turrialba,Confirmed Eruption,1.0,2020,6,18,Historical Observations,2020,8,24,10.025,-83.767,0.0,2020/6/18,2020/8/24
36,Copahue,Confirmed Eruption,2.0,2020,6,16,Historical Observations,2020,10,19,-37.856,-71.183,0.0,2020/6/16,2020/10/19
37,Cleveland,Confirmed Eruption,3.0,2020,6,1,Historical Observations,2020,6,1,52.825,-169.944,0.0,2020/6/1,2020/6/1
38,Kikai,Confirmed Eruption,1.0,2020,4,29,Historical Observations,2020,4,29,30.793,130.305,0.0,2020/4/29,2020/4/29
39,Karymsky,Confirmed Eruption,3.0,2020,4,1,Historical Observations,2021,10,14,54.049,159.443,1.0,2020/4/1,2021/10/14
40,Soputan,Confirmed Eruption,2.0,2020,3,23,Historical Observations,2020,4,2,1.112,124.737,0.0,2020/3/23,2020/4/2
41,Kavachi,Confirmed Eruption,0.0,2020,3,16,Historical Observations,2020,4,30,-8.991,157.979,0.0,2020/3/16,2020/4/30
42,Sarychev Peak,Confirmed Eruption,1.0,2020,2,29,Historical Observations,2021,9,30,48.092,153.2,1.0,2020/2/29,2021/9/30
43,San Miguel,Confirmed Eruption,1.0,2020,2,22,Historical Observations,2020,2,22,13.434,-88.269,0.0,2020/2/22,2020/2/22
44,"Fournaise, Piton de la",Confirmed Eruption,0.0,2020,2,10,Historical Observations,2020,4,6,-21.244,55.708,0.0,2020/2/10,2020/4/6
45,Rincon de la Vieja,Confirmed Eruption,2.0,2020,1,30,Historical Observations,2020,12,13,10.83,-85.324,0.0,2020/1/30,2020/12/13
46,Fernandina,Confirmed Eruption,0.0,2020,1,12,Historical Observations,2020,1,13,-0.37,-91.55,0.0,2020/1/12,2020/1/13
47,Taal,Confirmed Eruption,4.0,2020,1,12,Historical Observations,2020,1,22,14.002,120.993,0.0,2020/1/12,2020/1/22
48,Kuchinoerabujima,Confirmed Eruption,3.0,2020,1,11,Historical Observations,2020,5,13,30.443,130.217,0.0,2020/1/11,2020/5/13
49,Whakaari/White Island,Confirmed Eruption,2.0,2019,12,9,Historical Observations,2019,12,9,-37.52,177.18,0.0,2019/12/9,2019/12/9
50,Semisopochnoi,Confirmed Eruption,1.0,2019,12,7,Historical Observations,2020,6,19,51.93,179.58,1.0,2019/12/7,2020/6/19
51,Nishinoshima,Confirmed Eruption,1.0,2019,12,5,Historical Observations,2020,8,27,27.247,140.874,1.0,2019/12/5,2020/8/27
52,Cleveland,Uncertain Eruption,VEI Unknown,2019,11,7,Historical Observations,2019,12,7,52.825,-169.944,0.0,2019/11/7,2019/12/7
53,Kikai,Confirmed Eruption,2.0,2019,11,2,Historical Observations,2019,11,2,30.793,130.305,0.0,2019/11/2,2019/11/2
54,Lateiki,Confirmed Eruption,1.0,2019,10,13,Historical Observations,2019,10,22,-19.18,-174.87,0.0,2019/10/13,2019/10/22
55,Asamayama,Confirmed Eruption,2.0,2019,8,7,Historical Observations,2019,8,25,36.406,138.523,0.0,2019/8/7,2019/8/25
56,Copahue,Confirmed Eruption,2.0,2019,8,2,Historical Observations,2019,11,12,-37.856,-71.183,0.0,2019/8/2,2019/11/12
57,Tangkuban Parahu,Confirmed Eruption,1.0,2019,7,26,Historical Observations,2019,9,17,-6.77,107.6,0.0,2019/7/26,2019/9/17
58,Shishaldin,Confirmed Eruption,3.0,2019,7,23,Historical Observations,2020,5,4,54.756,-163.97,1.0,2019/7/23,2020/5/4
59,Semisopochnoi,Confirmed Eruption,1.0,2019,7,16,Historical Observations,2019,8,24,51.93,179.58,0.0,2019/7/16,2019/8/24
60,Ulawun,Confirmed Eruption,4.0,2019,6,26,Historical Observations,2019,10,5,-5.05,151.33,0.0,2019/6/26,2019/10/5
61,Ubinas,Confirmed Eruption,2.0,2019,6,24,Historical Observations,2019,9,12,-16.355,-70.903,0.0,2019/6/24,2019/9/12
62,Raikoke,Confirmed Eruption,3.0,2019,6,22,Historical Observations,2019,7,1,48.292,153.25,0.0,2019/6/22,2019/7/1
63,"Fournaise, Piton de la",Confirmed Eruption,0.0,2019,6,11,Historical Observations,2019,10,27,-21.244,55.708,0.0,2019/6/11,2019/10/27
64,Great Sitkin,Confirmed Eruption,1.0,2019,6,1,Historical Observations,2019,6,7,52.076,-176.13,0.0,2019/6/1,2019/6/7
65,Sarychev Peak,Confirmed Eruption,2.0,2019,5,16,Historical Observations,2019,10,7,48.092,153.2,0.0,2019/5/16,2019/10/7
66,Colima,Confirmed Eruption,1.0,2019,5,11,Historical Observations,2019,7,12,19.514,-103.62,0.0,2019/5/11,2019/7/12
67,Asosan,Confirmed Eruption,2.0,2019,4,16,Historical Observations,2020,6,16,32.884,131.104,1.0,2019/4/16,2020/6/16
68,Klyuchevskoy,Confirmed Eruption,2.0,2019,4,9,Historical Observations,2021,3,20,56.056,160.642,2.0,2019/4/9,2021/3/20
69,Sangay,Confirmed Eruption,2.0,2019,3,26,Historical Observations,2021,10,14,-2.005,-78.341,2.0,2019/3/26,2021/10/14
70,San Cristobal,Confirmed Eruption,1.0,2019,3,4,Historical Observations,2019,3,4,12.702,-87.004,0.0,2019/3/4,2019/3/4
71,"Fournaise, Piton de la",Confirmed Eruption,0.0,2019,2,18,Historical Observations,2019,3,10,-21.244,55.708,0.0,2019/2/18,2019/3/10
72,Tengger Caldera,Confirmed Eruption,2.0,2019,2,18,Historical Observations,2019,7,28,-7.942,112.95,0.0,2019/2/18,2019/7/28
73,Karymsky,Confirmed Eruption,2.0,2019,2,16,Historical Observations,2019,9,24,54.049,159.443,0.0,2019/2/16,2019/9/24
74,Poas,Confirmed Eruption,2.0,2019,2,7,Historical Observations,2019,9,30,10.2,-84.233,0.0,2019/2/7,2019/9/30
75,Sinabung,Confirmed Eruption,4.0,2019,2,6,Historical Observations,2019,6,9,3.17,98.392,0.0,2019/2/6,2019/6/9
76,Tinakula,Confirmed Eruption,2.0,2018,12,8,Historical Observations,2021,10,13,-10.386,165.804,3.0,2018/12/8,2021/10/13
77,Karangetang,Confirmed Eruption,2.0,2018,11,25,Historical Observations,2021,10,15,2.781,125.407,3.0,2018/11/25,2021/10/15
78,Planchon-Peteroa,Confirmed Eruption,1.0,2018,11,7,Historical Observations,2019,5,7,-35.223,-70.568,1.0,2018/11/7,2019/5/7
79,Kuchinoerabujima,Confirmed Eruption,3.0,2018,10,21,Historical Observations,2019,2,3,30.443,130.217,1.0,2018/10/21,2019/2/3
80,Gamalama,Confirmed Eruption,1.0,2018,10,4,Historical Observations,2018,10,6,0.8,127.33,0.0,2018/10/4,2018/10/6
81,Soputan,Confirmed Eruption,3.0,2018,10,2,Historical Observations,2018,12,16,1.112,124.737,0.0,2018/10/2,2018/12/16
82,Barren Island,Confirmed Eruption,1.0,2018,9,25,Historical Observations,2021,8,23,12.278,93.858,3.0,2018/9/25,2021/8/23
83,Ulawun,Confirmed Eruption,2.0,2018,9,21,Historical Observations,2018,10,12,-5.05,151.33,0.0,2018/9/21,2018/10/12
84,Ketoi,Uncertain Eruption,1.0,2018,9,21,Historical Observations,2018,9,21,47.35,152.475,0.0,2018/9/21,2018/9/21
85,Sarychev Peak,Confirmed Eruption,2.0,2018,9,8,Historical Observations,2018,10,15,48.092,153.2,0.0,2018/9/8,2018/10/15
86,Semisopochnoi,Confirmed Eruption,1.0,2018,9,8,Historical Observations,2018,10,31,51.93,179.58,0.0,2018/9/8,2018/10/31
87,Veniaminof,Confirmed Eruption,1.0,2018,9,4,Historical Observations,2018,12,23,56.17,-159.38,0.0,2018/9/4,2018/12/23
88,Alaid,Confirmed Eruption,1.0,2018,8,20,Historical Observations,2018,8,21,50.861,155.565,0.0,2018/8/20,2018/8/21
89,Sangay,Confirmed Eruption,2.0,2018,8,8,Historical Observations,2018,12,7,-2.005,-78.341,0.0,2018/8/8,2018/12/7
90,Rincon de la Vieja,Confirmed Eruption,1.0,2018,7,28,Historical Observations,2019,6,11,10.83,-85.324,1.0,2018/7/28,2019/6/11
91,Nishinoshima,Confirmed Eruption,1.0,2018,7,12,Historical Observations,2018,7,21,27.247,140.874,0.0,2018/7/12,2018/7/21
92,Mayotte,Confirmed Eruption,0.0,2018,7,3,Seismicity,2019,8,20,-12.83,45.17,1.0,2018/7/3,2019/8/20
93,"Negra, Sierra",Confirmed Eruption,2.0,2018,6,26,Historical Observations,2018,8,23,-0.83,-91.17,0.0,2018/6/26,2018/8/23
94,Telica,Confirmed Eruption,1.0,2018,6,21,Historical Observations,2018,8,15,12.606,-86.84,0.0,2018/6/21,2018/8/15
95,Krakatau,Confirmed Eruption,3.0,2018,6,18,Historical Observations,2020,4,17,-6.102,105.423,2.0,2018/6/18,2020/4/17
96,Fernandina,Confirmed Eruption,1.0,2018,6,16,Historical Observations,2018,6,21,-0.37,-91.55,0.0,2018/6/16,2018/6/21
97,Great Sitkin,Confirmed Eruption,1.0,2018,6,10,Historical Observations,2018,8,11,52.076,-176.13,0.0,2018/6/10,2018/8/11
98,Ulawun,Confirmed Eruption,1.0,2018,6,8,Historical Observations,2018,6,8,-5.05,151.33,0.0,2018/6/8,2018/6/8
99,Merapi,Confirmed Eruption,3.0,2018,5,11,Historical Observations,2020,6,21,-7.54,110.446,2.0,2018/5/11,2020/6/21
100,Karymsky,Confirmed Eruption,3.0,2018,4,28,Historical Observations,2018,9,30,54.049,159.443,0.0,2018/4/28,2018/9/30
101,Marapi,Confirmed Eruption,2.0,2018,4,27,Historical Observations,2018,5,2,-0.38,100.474,0.0,2018/4/27,2018/5/2
102,San Cristobal,Confirmed Eruption,1.0,2018,4,22,Historical Observations,2018,4,22,12.702,-87.004,0.0,2018/4/22,2018/4/22
103,Kerinci,Confirmed Eruption,1.0,2018,4,21,Historical Observations,2021,6,13,-1.697,101.264,3.0,2018/4/21,2021/6/13
104,Nyamulagira,Confirmed Eruption,0.0,2018,4,18,Historical Observations,2021,10,4,-1.408,29.2,3.0,2018/4/18,2021/10/4
105,"Fournaise, Piton de la",Confirmed Eruption,0.0,2018,4,3,Historical Observations,2018,11,1,-21.244,55.708,0.0,2018/4/3,2018/11/1
106,Dieng Volcanic Complex,Confirmed Eruption,1.0,2018,4,1,Historical Observations,2018,4,1,-7.2,109.879,0.0,2018/4/1,2018/4/1
107,Kirishimayama,Confirmed Eruption,3.0,2018,3,1,Historical Observations,2018,6,27,31.934,130.862,0.0,2018/3/1,2018/6/27
108,Sangay,Confirmed Eruption,1.0,2018,2,25,Historical Observations,2018,2,25,-2.005,-78.341,0.0,2018/2/25,2018/2/25
109,Karangetang,Confirmed Eruption,1.0,2018,2,2,Historical Observations,2018,2,2,2.781,125.407,0.0,2018/2/2,2018/2/2
110,Kusatsu-Shiranesan,Confirmed Eruption,1.0,2018,1,23,Historical Observations,2018,1,23,36.618,138.528,0.0,2018/1/23,2018/1/23
111,San Miguel,Confirmed Eruption,1.0,2018,1,14,Historical Observations,2018,5,30,13.434,-88.269,0.0,2018/1/14,2018/5/30
112,Mayon,Confirmed Eruption,2.0,2018,1,13,Historical Observations,2019,10,12,13.257,123.685,1.0,2018/1/13,2019/10/12
113,Kadovar,Confirmed Eruption,2.0,2018,1,5,Historical Observations,2021,10,14,-3.608,144.588,3.0,2018/1/5,2021/10/14
114,Kanlaon,Confirmed Eruption,2.0,2017,12,9,Historical Observations,2017,12,9,10.412,123.132,0.0,2017/12/9,2017/12/9
115,Agung,Confirmed Eruption,3.0,2017,11,21,Historical Observations,2019,6,13,-8.343,115.508,2.0,2017/11/21,2019/6/13
116,Dempo,Confirmed Eruption,1.0,2017,11,9,Historical Observations,2017,11,9,-4.016,103.121,0.0,2017/11/9,2017/11/9
117,Tinakula,Confirmed Eruption,3.0,2017,10,21,Historical Observations,2017,10,26,-10.386,165.804,0.0,2017/10/21,2017/10/26
118,Sarychev Peak,Confirmed Eruption,2.0,2017,10,12,Historical Observations,2017,11,13,48.092,153.2,0.0,2017/10/12,2017/11/13
119,Kirishimayama,Confirmed Eruption,2.0,2017,10,11,Historical Observations,2017,10,17,31.934,130.862,0.0,2017/10/11,2017/10/17
120,Ambae,Confirmed Eruption,3.0,2017,9,6,Historical Observations,2018,10,30,-15.389,167.835,1.0,2017/9/6,2018/10/30
121,Fernandina,Confirmed Eruption,2.0,2017,9,4,Historical Observations,2017,9,7,-0.37,-91.55,0.0,2017/9/4,2017/9/7
122,San Cristobal,Confirmed Eruption,3.0,2017,8,18,Historical Observations,2017,11,11,12.702,-87.004,0.0,2017/8/18,2017/11/11
123,Kerinci,Confirmed Eruption,1.0,2017,8,13,Historical Observations,2017,8,13,-1.697,101.264,0.0,2017/8/13,2017/8/13
124,Sangay,Confirmed Eruption,2.0,2017,7,20,Historical Observations,2017,10,26,-2.005,-78.341,0.0,2017/7/20,2017/10/26
125,Sangeang Api,Confirmed Eruption,2.0,2017,7,15,Historical Observations,2020,6,10,-8.2,119.07,3.0,2017/7/15,2020/6/10
126,"Fournaise, Piton de la",Confirmed Eruption,0.0,2017,7,14,Historical Observations,2017,8,28,-21.244,55.708,0.0,2017/7/14,2017/8/28
127,Ulawun,Confirmed Eruption,1.0,2017,6,11,Historical Observations,2017,11,3,-5.05,151.33,0.0,2017/6/11,2017/11/3
128,Bulusan,Confirmed Eruption,1.0,2017,6,5,Historical Observations,2017,6,5,12.769,124.056,0.0,2017/6/5,2017/6/5
129,Marapi,Confirmed Eruption,1.0,2017,6,4,Historical Observations,2017,6,4,-0.38,100.474,0.0,2017/6/4,2017/6/4
130,Karymsky,Confirmed Eruption,3.0,2017,6,4,Historical Observations,2018,1,27,54.049,159.443,1.0,2017/6/4,2018/1/27
131,Copahue,Confirmed Eruption,1.0,2017,6,4,Historical Observations,2018,12,7,-37.856,-71.183,1.0,2017/6/4,2018/12/7
132,Rincon de la Vieja,Confirmed Eruption,2.0,2017,5,23,Historical Observations,2018,3,15,10.83,-85.324,1.0,2017/5/23,2018/3/15
133,Karangetang,Uncertain Eruption,VEI Unknown,2017,5,10,Historical Observations,2017,5,10,2.781,125.407,0.0,2017/5/10,2017/5/10
134,Dieng Volcanic Complex,Confirmed Eruption,1.0,2017,4,30,Historical Observations,2017,7,2,-7.2,109.879,0.0,2017/4/30,2017/7/2
135,Nishinoshima,Confirmed Eruption,2.0,2017,4,18,Historical Observations,2017,8,17,27.247,140.874,0.0,2017/4/18,2017/8/17
136,Poas,Confirmed Eruption,1.0,2017,4,12,Historical Observations,2017,11,6,10.2,-84.233,0.0,2017/4/12,2017/11/6
137,"Lengai, Ol Doinyo",Confirmed Eruption,0.0,2017,4,9,Historical Observations,2021,10,15,-2.764,35.914,4.0,2017/4/9,2021/10/15
138,Kick 'em Jenny,Confirmed Eruption,0.0,2017,3,29,Hydrophonic,2017,3,29,12.3,-61.64,0.0,2017/3/29,2017/3/29
139,Aira,Confirmed Eruption,1.0,2017,3,25,Historical Observations,2021,10,14,31.593,130.657,4.0,2017/3/25,2021/10/14
140,Kambalny,Confirmed Eruption,3.0,2017,3,24,Historical Observations,2017,4,10,51.306,156.875,0.0,2017/3/24,2017/4/10
141,Ebulobo,Uncertain Eruption,VEI Unknown,2017,3,12,Historical Observations,2017,3,12,-8.817,121.191,0.0,2017/3/12,2017/3/12
142,Krakatau,Confirmed Eruption,1.0,2017,2,19,Historical Observations,2017,2,19,-6.102,105.423,0.0,2017/2/19,2017/2/19
143,San Cristobal,Confirmed Eruption,1.0,2017,2,18,Historical Observations,2017,4,19,12.702,-87.004,0.0,2017/2/18,2017/4/19
144,"Fournaise, Piton de la",Confirmed Eruption,0.0,2017,1,31,Historical Observations,2017,2,27,-21.244,55.708,0.0,2017/1/31,2017/2/27
145,Unnamed,Confirmed Eruption,0.0,2017,1,23,Historical Observations,2017,1,31,-20.852,-175.55,0.0,2017/1/23,2017/1/31
146,Barren Island,Confirmed Eruption,2.0,2017,1,15,Historical Observations,2017,5,16,12.278,93.858,0.0,2017/1/15,2017/5/16
147,San Miguel,Confirmed Eruption,1.0,2017,1,7,Historical Observations,2017,1,7,13.434,-88.269,0.0,2017/1/7,2017/1/7
148,Bogoslof,Confirmed Eruption,3.0,2016,12,20,Historical Observations,2017,8,30,53.93,-168.03,1.0,2016/12/20,2017/8/30
149,Chirinkotan,Confirmed Eruption,3.0,2016,11,29,Historical Observations,2017,4,7,48.98,153.48,1.0,2016/11/29,2017/4/7
150,Nyamulagira,Confirmed Eruption,0.0,2016,11,27,Historical Observations,2017,5,2,-1.408,29.2,1.0,2016/11/27,2017/5/2
151,Zhupanovsky,Confirmed Eruption,2.0,2016,11,20,Historical Observations,2016,11,20,53.589,159.15,0.0,2016/11/20,2016/11/20
152,Kerinci,Confirmed Eruption,1.0,2016,11,15,Historical Observations,2016,11,21,-1.697,101.264,0.0,2016/11/15,2016/11/21
153,Sabancaya,Confirmed Eruption,3.0,2016,11,6,Historical Observations,2021,10,14,-15.787,-71.857,5.0,2016/11/6,2021/10/14
154,Ebeko,Confirmed Eruption,2.0,2016,10,20,Historical Observations,2021,10,14,50.686,156.014,5.0,2016/10/20,2021/10/14
155,Ulawun,Confirmed Eruption,1.0,2016,10,11,Historical Observations,2016,11,18,-5.05,151.33,0.0,2016/10/11,2016/11/18
156,Asosan,Confirmed Eruption,3.0,2016,10,7,Historical Observations,2016,11,12,32.884,131.104,0.0,2016/10/7,2016/11/12
157,Karymsky,Confirmed Eruption,2.0,2016,10,5,Historical Observations,2016,10,8,54.049,159.443,0.0,2016/10/5,2016/10/8
158,"Lengai, Ol Doinyo",Confirmed Eruption,VEI Unknown,2016,9,21,Historical Observations,2016,10,13,-2.764,35.914,0.0,2016/9/21,2016/10/13
159,Whakaari/White Island,Confirmed Eruption,1.0,2016,9,13,Historical Observations,2016,9,13,-37.52,177.18,0.0,2016/9/13,2016/9/13
160,Ubinas,Confirmed Eruption,2.0,2016,9,13,Historical Observations,2017,3,2,-16.355,-70.903,1.0,2016/9/13,2017/3/2
161,"Fournaise, Piton de la",Confirmed Eruption,0.0,2016,9,11,Historical Observations,2016,9,18,-21.244,55.708,0.0,2016/9/11,2016/9/18
162,Gamalama,Confirmed Eruption,1.0,2016,8,3,Historical Observations,2016,8,4,0.8,127.33,0.0,2016/8/3,2016/8/4
163,Rinjani,Confirmed Eruption,2.0,2016,8,1,Historical Observations,2016,9,27,-8.42,116.47,0.0,2016/8/1,2016/9/27
164,Chikurachki,Confirmed Eruption,2.0,2016,7,27,Historical Observations,2016,8,18,50.324,155.461,0.0,2016/7/27,2016/8/18
165,San Miguel,Confirmed Eruption,1.0,2016,6,18,Historical Observations,2016,6,18,13.434,-88.269,0.0,2016/6/18,2016/6/18
166,Bulusan,Confirmed Eruption,2.0,2016,6,10,Historical Observations,2017,3,2,12.769,124.056,1.0,2016/6/10,2017/3/2
167,Poas,Confirmed Eruption,1.0,2016,6,5,Historical Observations,2016,8,16,10.2,-84.233,0.0,2016/6/5,2016/8/16
168,"Fournaise, Piton de la",Confirmed Eruption,0.0,2016,5,26,Historical Observations,2016,5,27,-21.244,55.708,0.0,2016/5/26,2016/5/27
169,Whakaari/White Island,Confirmed Eruption,1.0,2016,4,27,Historical Observations,2016,4,27,-37.52,177.18,0.0,2016/4/27,2016/4/27
170,Bristol Island,Confirmed Eruption,1.0,2016,4,24,Historical Observations,2016,7,19,-59.017,-26.533,0.0,2016/4/24,2016/7/19
171,San Cristobal,Confirmed Eruption,2.0,2016,4,22,Historical Observations,2016,4,22,12.702,-87.004,0.0,2016/4/22,2016/4/22
172,Cleveland,Confirmed Eruption,2.0,2016,4,16,Historical Observations,2019,1,16,52.825,-169.944,3.0,2016/4/16,2019/1/16
173,Kerinci,Confirmed Eruption,2.0,2016,3,31,Historical Observations,2016,6,9,-1.697,101.264,0.0,2016/3/31,2016/6/9
174,Zavodovski,Confirmed Eruption,1.0,2016,3,30,Historical Observations,2016,5,16,-56.3,-27.57,0.0,2016/3/30,2016/5/16
175,Chikurachki,Confirmed Eruption,2.0,2016,3,29,Historical Observations,2016,3,31,50.324,155.461,0.0,2016/3/29,2016/3/31
176,Pavlof,Confirmed Eruption,2.0,2016,3,27,Historical Observations,2016,7,30,55.417,-161.894,0.0,2016/3/27,2016/7/30
177,Sangay,Confirmed Eruption,2.0,2016,3,25,Historical Observations,2016,11,17,-2.005,-78.341,0.0,2016/3/25,2016/11/17
178,Bulusan,Confirmed Eruption,2.0,2016,2,22,Historical Observations,2016,2,22,12.769,124.056,0.0,2016/2/22,2016/2/22
179,San Miguel,Confirmed Eruption,1.0,2016,1,12,Historical Observations,2016,1,18,13.434,-88.269,0.0,2016/1/12,2016/1/18
180,"Chillan, Nevados de",Confirmed Eruption,2.0,2016,1,8,Historical Observations,2021,10,14,-36.868,-71.378,5.0,2016/1/8,2021/10/14
181,Soputan,Confirmed Eruption,3.0,2016,1,2,Historical Observations,2016,2,7,1.112,124.737,0.0,2016/1/2,2016/2/7
182,Momotombo,Confirmed Eruption,2.0,2015,12,1,Historical Observations,2016,4,7,12.423,-86.539,1.0,2015/12/1,2016/4/7
183,Kanlaon,Confirmed Eruption,2.0,2015,11,24,Historical Observations,2016,6,18,10.412,123.132,1.0,2015/11/24,2016/6/18
184,Marapi,Confirmed Eruption,1.0,2015,11,14,Historical Observations,2015,11,14,-0.38,100.474,0.0,2015/11/14,2015/11/14
185,Tengger Caldera,Confirmed Eruption,2.0,2015,11,12,Historical Observations,2016,11,12,-7.942,112.95,1.0,2015/11/12,2016/11/12
186,Lascar,Confirmed Eruption,2.0,2015,10,30,Historical Observations,2017,4,2,-23.37,-67.73,2.0,2015/10/30,2017/4/2
187,Rinjani,Confirmed Eruption,2.0,2015,10,25,Historical Observations,2015,12,24,-8.42,116.47,0.0,2015/10/25,2015/12/24
188,Langila,Confirmed Eruption,2.0,2015,10,22,Historical Observations,2021,10,14,-5.525,148.42,6.0,2015/10/22,2021/10/14
189,Masaya,Confirmed Eruption,1.0,2015,10,3,Historical Observations,2021,9,30,11.985,-86.165,6.0,2015/10/3,2021/9/30
190,Tofua,Confirmed Eruption,0.0,2015,10,2,Historical Observations,2021,10,15,-19.75,-175.07,6.0,2015/10/2,2021/10/15
191,Alaid,Confirmed Eruption,1.0,2015,9,29,Historical Observations,2016,8,11,50.861,155.565,1.0,2015/9/29,2016/8/11
192,Telica,Confirmed Eruption,2.0,2015,9,23,Historical Observations,2016,5,11,12.606,-86.84,1.0,2015/9/23,2016/5/11
193,Copahue,Confirmed Eruption,2.0,2015,9,18,Historical Observations,2016,12,30,-37.856,-71.183,1.0,2015/9/18,2016/12/30
